City;Pixels;Hex;Population
Rome;16;404040;163000
Milan;12;40403F;124000
Naples;42;403F3F;419000
Turin;9;3F3F3F;90000
Palermo;13;3F3F3E;130000
Genoa;9;3F3E3E;91000
Bologna;7;3E3E3E;68190
Florence;8;3E3E3D;81000
Venice;14;3E3D3D;138000
Bari;2;3D3D3D;20000
Catania;5;3D3D3C;45000
Verona;5;3D3C3C;50000
Messina;5;3C3C3C;54000
Padua;3;3C3C3B;32000
Trieste;2;3C3B3B;20000
Brescia;3;3B3B3B;28000
Parma;3;3B3B3A;34000
Taranto;1;3B3A3A;13000
Modena;3;3A3A3A;26000
Reggio Calabria;3;3A3A39;27000
Reggio Emilia;2;3A3939;23000
Perugia;2;393939;21000
Ravenna;3;393938;28000
Livorno;5;393838;47000
Rimini;2;383838;16000
Cagliari;2;383837;19000
Foggia;2;383737;15000
Ferrara;3;373737;32000
Salerno;1;373736;13000
Monza;1;373636;12000
Sassari;1;363636;12000
Bergamo;4;363635;36000
Forli;3;363535;30000
Syracuze;1;353535;10000
Vicenza;3;353534;30000
Piacenza;3;353434;30000
Novara;2;343434;20000
Ancona;2;343433;17000
Udine;2;343333;20000
Andria;2;333333;20000
Arezzo;3;333332;30000
Cesena;3;333232;30000
Pesaro;2;323232;20000
Barletta;2;323231;20000
Alessandria;4;323131;40000
Pisa;3;313131;30000
Pistoia;4;313130;40000
Lucca;6;313030;60000
Catanzaro;2;303030;20000
Treviso;2;30302F;20000
Como;3;302F2F;27000
Marsala;2;2F2F2F;24000
Corigliano-Rossano;2;2F2F2E;20000
Asti;3;2F2E2E;30000
Caserta;2;2E2E2E;20000
Ragusa;2;2E2E2D;20000
Pavia;3;2E2D2D;30000
Cremona;4;2D2D2D;40000
Imola;2;2D2D2C;20000
L'Aquila;3;2D2C2C;30000
Lamezia Terme;1;2C2C2C;10000
Viterbo;2;2C2C2B;20000
Trapani;3;2C2B2B;30000
Castellammare di Stabia;2;2B2B2B;20000
Vigevano;1;2B2B2A;10000
Fano;1;2B2A2A;10000
Caltanissetta;2;2A2A2A;20000
Faenza;3;2A2A29;30000
Savona;1;2A2929;10000
Molfetta;2;292929;20000
Cerignola;1;292928;10000
Benevento;1;292828;10000
Cuneo;1;282828;10000
Foligno;1;282827;10000
Trani;1;282727;10000
Siena;3;272727;30000
Bisceglie;1;272726;10000
Modica;2;272626;20000
Rovigo;2;262626;20000
Paris;64;262625;636722
Marseille;10;262525;96413
Lyon;10;252525;101760
Toulouse;5;252524;50171
Nice;2;252424;18475
Nantes;8;242424;77162
Montpellier;3;242423;32723
Strasbourg;5;242323;49056
Bordeuax;9;232323;93570
Lille;7;232322;71067
Rennes;3;232222;25904
Reims;3;222222;30225
Toulon;2;222221;22000
Le Havre;2;222121;19000
Grenoble;2;212121;20654
Dijon;2;212120;18888
Angers;3;212020;33000
N?mes;4;202020;39594
Clermont-Ferrand;3;20201F;30000
Aix-en-Provence;2;201F1F;21009
Brest;3;1F1F1F;25865
Tours;2;1F1F1E;20240
Amiens;4;1F1E1E;41279
Limoges;2;1E1E1E;20255
Metz;3;1E1E1D;32099
Besan?on;3;1E1D1D;28436
Orl?ans;4;1D1D1D;41937
Rouen;8;1D1D1C;80755
Caen;3;1D1C1C;30923
Nancy;3;1C1C1C;28227
Avignon;2;1C1C1B;21412
Poitiers;2;1C1B1B;18223
Dunkirk;2;1B1B1B;21158
Versailles;3;1B1B1A;27574
B?ziers;1;1B1A1A;14535
La Rochelle;2;1A1A1A;17512
Ajaccio;1;1A1A19;6570
Chartres;1;1A1919;13794
Bourges;2;191919;16330
Troyes;2;191918;24061
Montauban;2;191818;21950
Niort;2;181818;15028
Chamb?ry;1;181817;10800
Lorient;2;181717;17837
Beauvais;1;171717;12392
Saint-Quentin;1;171716;10477
Bayonne;1;171616;13190
Agen;1;161616;9876
Arles;2;161615;18470
Vienne;1;161515;10362
Angoul?me;1;151515;13000
Blois;1;151514;14900
Nevers;1;151414;11200
Lisbon;16;414040;164731
Viana do Castelo;1;414140;7293
Porto;4;414141;44218
Braga;2;424141;16266
Coimbra;2;424241;15203
Santar?m;1;424242;9164
Sintra;1;434242;10873
Vila Nova de Gaia;2;434342;19180
Guimar?es;1;434343;6557
Santa Maria da Feira;2;444343;24253
Lagos;1;444443;6628
Set?bal;2;444444;15348
Barcelos;2;454444;17726
Viseu;1;454544;9059
Faro;1;454545;7336
Castelo Branco;1;464545;5161
Beja;1;464645;6289
Lamego;1;464646;6013
Chaves;3;474646;27562
Portalegre;1;474746;6526
Madrid;13;474747;128526
Barcelona;10;484747;99470
Valencia;11;484847;107322
Sevilla;8;484848;82063
Bilbao;7;494848;70970
M?laga;6;494948;55748
Oviedo;2;494949;16013
Alicante;2;4A4949;19045
Zaragoza;4;4A4A49;44911
Murcia;7;4A4A4A;65750
Granada;5;4B4A4A;50309
Cartagena;3;4B4B4A;27431
C?diz;4;4B4B4B;44031
A Coru?a;2;4C4B4B;15853
Valladolid;2;4C4C4B;15670
Tarragona;1;4C4C4C;10233
Reus;2;4D4C4C;23003
C?rdoba;3;4D4D4C;34276
Pamplona;1;4D4D4D;9533
Castell?n de la Plana;1;4E4D4D;13842
Santander;1;4E4E4D;13573
Huelva;1;4E4E4E;14535
Santiago de Compostela;2;4F4E4E;18576
Antwerp;5;4F4F4E;45500
Ghent;6;4F4F4F;58000
Li?ge;6;504F4F;58000
Brussels;7;50504F;73000
Bruges;3;505050;34000
Namur;1;515050;14000
Leuven;2;515150;20000
Mons;2;515151;19000
Alost;1;525151;12000
Malines;2;525251;20000
Courtrai;1;525252;13000
Tournai;2;535252;20000
Verviers;1;535352;14000
Ypres;1;535353;10000
Luxembourg;1;545353;13000
