France;A7AAD7
Spain;C19B4A
Portugal;9BCC8B
Papal States;EEBCD7
Andorra;9C6875
Kingdom of Sardinia;BEDAAA
Republic of Genoa;E3857D
Batavian Republic;B194B2
Swiss Confederation;B9978E
Austria;F8B972
Venice;F18BA3
Parma;9CB5DD
Modena and Reggio;99CDA6
Lucca;DFDA54
Tuscany;F4B298
Piombino;D7E78E
Naples;9E727F
San Marino;DFA951
Corsica;889A8C
Bavaria;759355
Prussia;A1C1D6
Electorate of Saxony;E3998C
Principality of Schwarzburg;8D7995
Hanover;FBF297
Denmark-Norway;FBD2A4
Sweden;A2D9F7
Russian Empire;B0CB9E
Kazakhstan;FFFBE5
Great Britain;F29792
Ireland;F5BBBA
Ragusa;55A4A1
Ottomans;F1B9A2
Wallachia;A3CBB0
Moldavia;CFC1D8
Malta;CE8FC8
Circassia;889083
Abkhazia;AF9A6B
Svaneti;8D806D
Mingrelia;FBDE82
Imereti;FEE9A6
Guria;E9DCB9
Montenegro;B78A77
Pashalik of Scutari;C1A097
Pashalik of Yanina;E1BFB3
Kartli-Kakheti;D4AB73
Shaki;88A299
Shamakhi;748781
Baku;A7D2C1
Quba;679082
Derbent;87A599
Ganja;839690
Erivan;4E7769
Karabakh;679183
Nakhichevan;72857F
Talysh;85BCA9
Persia;D7C980
Ardalan;948951
Baghdad;EEBCA3
Mosul;C69F90
Baban;89AE8F
Soran;79A3A2
Bahdinan;949A78
Hakkari;878D83
Bitlis;6D8683
Qabilcewz;A3AEA0
S?leymandi;A5AC83
Bohtan;7CA084
Sinjar;B0B6AA
Milan;A5AE83
Cammasa;C09D8A
P?rtag;A9836E
Morroco;BE977C
Algiers;93977C
Tunisia;E4887C
Tripolitania;C9AE7C
Egypt;DD8D7C
Poland;DE8E83
Margraviate of Baden;DF8C7A
Duchy of W?rttemberg;D5C25B
Principality of Hohenzollern-Sigmaringen;727886
Free Imperial City of Ulm;AA2727
Principality of F?rstenberg;89A09A
Prince-Bishopric of Freising;E398C1
Prince-Bishopric of Constance;B77DA5
Free Imperial City of Heilbronn;972727
Prince-Bishopric of Speyer;E9B5CC
Free Imperial City of Rottweil;AE2727
Prince-Archbishopric of Salzburg;8898C1
Prince-Bishopric of Passau;AA98C1
Prince-Bishopric of Regensburg;C298C1
Free Imperial City of Augsburg;D12727
Free Imperial City of Kempten;C92727
Free Imperial City of Kaufbeuren;BE2727
Imperial Abbey of Kempten;CD98C1
Prince-Bishopric of Augsburg;A798C1
Free Imperial City of Memmingen;CD2727
Free Imperial City of Leutkirch im Allg?u;D42727
Free Imperial City of Lindau;D12F27
Free Imperial City of Buchhorn;D13E27
Free Imperial City of Ravensburg;AA3E27
Imperial Abbey of Weingarten;DD7DA5
Lordship of K?nigsegg;667675
Principality of Liechtenstein;BD818D
Free Imperial City of Buchau;93788F
Imperial Abbey of Buchau;F8618F
Free Imperial City of Schw?bisch Gm?nd;8C2B27
Free Imperial City of Aalen;8F2F27
Imperial Abbey of Baindt;9F7DA5
Free Imperial City of Biberach an der Ri?;D44E27
Lordship of Bonndorf;807DA5
Free Imperial City of Bopfingen;8F2F3E
Free Imperial City of Dinkelsb?hl;B62F3E
Imperial Abbey of Elchingen;CD74C1
Imperial Abbey of Ellwangen;CC94C4
Free Imperial City of Esslingen;AA2742
Electorate of Mainz;D9B223
Free Imperial City of Offenburg;DF4E7A
Freiherren Fugger;4274C1
Imperial Abbey of Gengenbach;B77D8C
Free Imperial City of Gengenbach;DF717A
Free Imperial City of Giengen an der Brenz;AA2771
Imperial Abbey of Gutenzell;CD7CC1
County of Hohengeroldseck;89A06D
Imperial Abbey of Irsee;CD9880
Free Imperial City of Isny;D42784
Imperial Abbey of Kaiserheim;BA98C1
Landgraviate of Klettgau;A79F59
Teutonic Order;89C99A
Imperial Abbey of Marchtal;9F6588
County of Oettingen;A7AD96
Imperial Abbey of Neresheim;CCAEC4
Imperial Abbey of Ochsenhausen;B29B71
Imperial Abbey of Petershausen;A7C259
Free Imperial City of Pfullendorf;C23A3A
Free Imperial City of ?berlingen;AA3E4E
Imperial Abbey of Salem;D97D65
Free Imperial City of Reutlingen;AA2723
Imperial Abbey of Reggenburg;CD748F
Imperial Abbey of Rot an der Rot;CD8C69
Prince-Bishopric of Eichst?tt;CD8CA7
Prince-Bishopric of Strasbourg;8F4E55
Archstewardship of Waldburg;C1A243
Counts of Montfort;A7987C
Lordship of Pappenheim;69748F
Free Imperial City of Weissenburg;B6613E
Free Imperial City of Nuremberg;FC2F3E
Prince-Bishopric of Bamberg;E48C2B
County of Schwarzenberg;A180D6
Prince-Bishopric of W?rzburg;8859A3
Free Imperial City of Schweinfurt;FC2F65
Free Imperial City of Rothenburg;FC742B
County of Hohenlohe-Langenburg;977886
Free Imperial City of Hall;BA3E71
Landgraviate of Hesse-Darmstadt;3774B6
County of Erbach;935288
County of Wertheim;556152
County of Rieneck;9B9F52
Free Imperial City of Frankfurt;FF0000
Principality of Nassau-Diez;DB9078
Landgraviate of Hesse-Kassel;94A9B7
Electorate of Trier;E8AE55
Free Imperial City of Friedberg;931800
Prince-Bishopric of Fulda;CD59A3
County of Isenburg;97AE86
Principality of Solms;379BB6
Free Imperial City of Wetzlar;BA3A00
County of Waldeck;AAAB5B
Electorate of Cologne;75B633
Free Imperial City of Dortmund;C91800
Burgrave of Kirchberg;E8DD55
Principality of Wied-Neuwied;B6BA84
Duchy of Saxe-Weimar;455632
Duchy of Saxe-Coburg-Saalfeld;458432
Duchy of Saxe-Gotha-Altenburg;45B27C
County of Reuss;7D5BEF
Principality of Brunswick-Wolfenb?ttel;A77E40
County of Wernigerode;84AA7C
Principalities of Anhalt;A1C171
Prince-Bishopric of Hildesheim;E3618C
Free Imperial City of Goslar;E32F4A
Duchy of Mecklenburg-Schwerin;D0B2A8
Duchy of Mecklenburg-Strelitz;C19A8B
Free Imperial City of L?beck;BF232A
Prince-Bishopric of L?beck;BF7CBE
Free Imperial City of Hamburg;F98F1D
Principality of Lippe;D88B5F
County of Schaumburg-Lippe;C6966E
Prince-Bishopric of Paderborn;BE61D5
County of Oldenburg;A39C39
Prince-Bishopric of Osnabr?ck;C79FF9
County of Steinfurt;F76440
Prince-Bishopric of M?nster;BACC9B
